timestamp,server_timestamp,x,y,pitch,yaw,confidence,source
62193.39999997616,1771050242328.591,952.5,694.125,0.09989583333333332,-0.00390625,0.5,simple
62318.39999997616,1771050242373.9,952.5,696.375,0.10135416666666665,-0.00390625,0.5,simple
62453.39999997616,1771050242509.5361,952.5,696.375,0.10135416666666665,-0.00390625,0.5,simple
62579.09999996424,1771050242634.0872,951.0000000000001,690.75,0.09770833333333329,-0.004687499999999956,0.5,simple
62714.09999996424,1771050242774.6128,952.5,694.125,0.09989583333333332,-0.00390625,0.5,simple
62843.19999998808,1771050242902.2368,952.5,694.125,0.09989583333333332,-0.00390625,0.5,simple
62970.299999952316,1771050243027.942,945.0,695.25,0.10062500000000002,-0.0078125,0.5,simple
63102.69999998808,1771050243160.182,948.0,695.25,0.10062500000000002,-0.006249999999999978,0.5,simple
63228.09999996424,1771050243283.7478,955.5,691.875,0.0984375,-0.002343749999999978,0.5,simple
63363.09999996424,1771050243420.8428,957.0,686.25,0.09479166666666664,-0.0015625000000000222,0.5,simple
63496.299999952316,1771050243552.144,955.5,687.375,0.09552083333333333,-0.002343749999999978,0.5,simple
63621.09999996424,1771050243676.887,946.4999999999999,691.875,0.0984375,-0.007031250000000044,0.5,simple
63753,1771050243809.457,945.0,702.0,0.10500000000000001,-0.0078125,0.5,simple
63880.39999997616,1771050243936.097,951.0000000000001,704.25,0.10645833333333334,-0.004687499999999956,0.5,simple
64011.69999998808,1771050244067.857,945.0,706.5,0.10791666666666666,-0.0078125,0.5,simple
64147.89999997616,1771050244204.138,958.5000000000001,709.875,0.1101041666666667,-0.0007812499999999556,0.5,simple
64272,1771050244331.522,970.5,705.375,0.10718749999999996,0.005468750000000022,0.5,simple
64406.59999996424,1771050244463.754,975.0,704.25,0.10645833333333334,0.0078125,0.5,simple
64528,1771050244583.742,936.0000000000001,699.75,0.10354166666666668,-0.012499999999999956,0.5,simple
64660.89999997616,1771050244717.608,919.5,698.625,0.10281249999999997,-0.021093750000000022,0.5,simple
64787.89999997616,1771050244843.416,891.0000000000001,693.0,0.0991666666666667,-0.035937499999999956,0.5,simple
64919.09999996424,1771050244974.787,891.0000000000001,690.75,0.09770833333333329,-0.035937499999999956,0.5,simple
65046.5,1771050245101.24,891.0000000000001,690.75,0.09770833333333329,-0.035937499999999956,0.5,simple
65177.299999952316,1771050245232.804,897.0,699.75,0.10354166666666668,-0.03281250000000002,0.5,simple
65312.5,1771050245368.3118,903.0,697.5,0.10208333333333336,-0.029687499999999978,0.5,simple
65445.5,1771050245501.923,903.0,690.75,0.09770833333333329,-0.029687499999999978,0.5,simple
65569.69999998808,1771050245626.506,930.0,693.0,0.0991666666666667,-0.015625,0.5,simple
65696.09999996424,1771050245751.333,952.5,676.125,0.08822916666666669,-0.00390625,0.5,simple
65830.69999998808,1771050245886.462,952.5,655.875,0.07510416666666667,-0.00390625,0.5,simple
65962.59999996424,1771050246018.3462,943.5000000000001,664.875,0.08093749999999998,-0.008593749999999956,0.5,simple
66088.39999997616,1771050246143.954,943.5000000000001,655.875,0.07510416666666667,-0.008593749999999956,0.5,simple
66219.29999995232,1771050246275.086,948.0,654.75,0.07437499999999997,-0.006249999999999978,0.5,simple
66344.19999998808,1771050246399.3882,955.5,653.625,0.07364583333333334,-0.002343749999999978,0.5,simple
66479.19999998808,1771050246535.053,893.9999999999999,657.0,0.0758333333333333,-0.034375000000000044,0.5,simple
66604,1771050246661.505,852.0,659.25,0.0772916666666667,-0.05625000000000002,0.5,simple
66735.69999998808,1771050246791.542,840.0,666.0,0.08166666666666668,-0.0625,0.5,simple
66872.19999998808,1771050246928.0579,847.5,682.875,0.09260416666666668,-0.05859375,0.5,simple
66994.5,1771050247052.998,862.5,685.125,0.09406250000000001,-0.05078125,0.5,simple
67129.19999998808,1771050247184.4739,877.5,691.875,0.0984375,-0.04296875,0.5,simple
67255.09999996424,1771050247311.381,912.0,704.25,0.10645833333333334,-0.025000000000000022,0.5,simple
67387.69999998808,1771050247442.8389,955.5,705.375,0.10718749999999996,-0.002343749999999978,0.5,simple
67511.69999998808,1771050247568.4458,991.5,698.625,0.10281249999999997,0.01640625000000001,0.5,simple
67645.79999995232,1771050247702.863,1005.0,713.25,0.11229166666666665,0.0234375,0.5,simple
67772.5,1771050247831.366,1017.0,704.25,0.10645833333333334,0.029687499999999978,0.5,simple
67903.59999996424,1771050247958.752,1014.0,704.25,0.10645833333333334,0.02812500000000001,0.5,simple
68035.89999997616,1771050248091.754,1006.5,703.125,0.10572916666666664,0.02421875000000001,0.5,simple
68162.5,1771050248218.0022,1011.0,706.5,0.10791666666666666,0.02656249999999999,0.5,simple
68293.29999995232,1771050248348.422,1011.0,702.0,0.10500000000000001,0.02656249999999999,0.5,simple
68421,1771050248476.4321,1005.0,706.5,0.10791666666666666,0.0234375,0.5,simple
68553.69999998808,1771050248608.8801,997.5,707.625,0.10864583333333329,0.01953125,0.5,simple
68686.89999997616,1771050248741.8188,1003.5,705.375,0.10718749999999996,0.02265624999999999,0.5,simple
68811.39999997616,1771050248867.301,1008.0,706.5,0.10791666666666666,0.025000000000000022,0.5,simple
68945.59999996424,1771050249001.049,1012.5,707.625,0.10864583333333329,0.02734375,0.5,simple
69070.79999995232,1771050249127.742,1003.5,705.375,0.10718749999999996,0.02265624999999999,0.5,simple
69204.69999998808,1771050249263.285,1015.5,700.875,0.10427083333333331,0.028906250000000022,0.5,simple
69337.09999996424,1771050249393.2231,1020.0,699.75,0.10354166666666668,0.03125,0.5,simple
